County, School District, Free Breakfasts, RP Breakfasts, Paid Breakfasts, Free Lunches, RP Lunches, Paid Lunches
Santa Clara,Evergreen Elementary,109165,18159,22073,349962,82674,386970
San Mateo,Woodside Elementary,0,0,0,4082,1643,11556
Santa Clara,East Side Union High,456482,135017,42387,703212,189927,76738
San Mateo,Redwood City Elementary,366260,74538,87602,579919,124595,152720
Santa Clara,Berryessa Union Elementary,48679,9047,25946,203068,71842,254369
Santa Clara,San Jose Unified,681932,110143,94787,1298179,245113,522625
Santa Clara,Milpitas Unified,151006,35402,110077,308179,88638,399801
San Mateo,Pacifica,13566,4183,15624,46925,20371,132146
Santa Clara,Santa Clara County Office of Education,16802,2417,25476,28678,3996,27683
Santa Clara,Alpha Public Schools Inc,29894,4986,1789,98098,14660,6928
Santa Clara,ACE Charter School,18186,2280,1159,41629,6377,3251
San Mateo,San Mateo Union High,84944,14084,29735,112151,24470,100384
Santa Clara,Mount Pleasant Elementary,135418,23809,33108,202953,41996,58284
San Mateo,Cabrillo Unified,75123,6807,11288,119845,15023,12527
Santa Clara,Fremont Union High,62184,13534,62753,77971,21233,154257
Santa Clara,Saratoga Union Elementary,474,57,10733,2062,108,67251
San Mateo,Ravenswood City Elementary,367202,27953,54677,377310,30457,54038
Santa Clara,Alum Rock Union Elementary,619246,125601,159556,1103643,230446,263095
Santa Clara,Moreland,94026,21658,47567,137856,34881,135362
San Mateo,Jefferson Union High,55344,10927,20194,78881,19770,40966
San Mateo,South San Francisco Unified,99187,16858,22118,295024,78006,205090
Santa Clara,Franklin-McKinley Elementary,406234,67853,76568,830791,163796,189577
San Mateo,Summit Public Schools,36588,15493,19778,49903,23696,33174
Santa Clara,Campbell Union,85165,22481,17680,310837,73492,172534
San Mateo,Millbrae Elementary,24456,6778,33700,40304,13902,112814
Santa Clara,Cambrian,20314,4779,21501,42889,13795,97885
Santa Clara,Rocketship Education,619411,145870,179339,502867,111155,95339
Santa Clara,Luther Burbank,62632,14825,12928,62212,14725,12808
San Mateo,Burlingame Elementary,0,0,0,35626,7382,105949
Santa Clara,Gilroy Unified,407973,63799,115907,672843,122326,257689
San Mateo,Jefferson Elementary,81670,18399,14164,313984,107578,178939
San Mateo,San Mateo-Foster City,168269,23543,47021,326812,45074,227928
San Mateo,Menlo Park City Elementary,0,0,0,21536,7397,80116
San Mateo,Bayshore Elementary,6967,1742,2205,20663,5022,6486
Santa Clara,Oak Grove Elementary,215883,38778,66180,443983,101296,312376
Santa Clara,Sunnyvale,131451,28800,41294,234557,60483,138276
Santa Clara,Santa Clara Unified,250036,70816,81805,572287,171268,562921
Santa Clara,Orchard Elementary,16934,4961,7032,36105,13456,26664
Santa Clara,Campbell Union High,40478,5148,8482,88144,15146,25572
Santa Clara,Los Gatos Union Elementary,1561,529,22346,4714,1514,70156
San Mateo,Brisbane Elementary,1503,12,314,11436,1942,13001
San Mateo,Belmont-Redwood Shores Elementary,0,0,0,27643,8794,102558
San Mateo,Sequoia Union High,155177,19576,18708,230934,33984,98959
Santa Clara,Palo Alto Unified,29192,7637,29466,79009,27350,290478
Santa Clara,Mountain View-Los Altos Union High,32914,4837,5219,43420,8255,38189
Santa Clara,Morgan Hill Unified,200846,24170,58589,273007,36861,110823
Santa Clara,Union Elementary,18177,5087,9633,46334,12857,111391
Santa Clara,Cupertino Union,28412,4986,84555,70955,17612,748727
San Mateo,San Mateo County Office of Education,6209,1246,19169,9177,2194,19335
San Mateo,Portola Valley Elementary,0,0,0,4890,3253,20241
San Mateo,La Honda-Pescadero Unified,10538,1087,1172,16069,3850,8743
Santa Clara,Mountain View Whisman ,171026,22162,32471,211659,37583,109967
San Mateo,San Carlos Elementary,0,0,0,14445,3325,43699
San Mateo,San Bruno Park Elementary,45187,9321,11559,90282,24913,92339
